"PRODUCT_SKU";"CAT_1";"CAT_2";"PICTURE_URL";"BRAND";"SHIPPED_ITEM";"SHIPPED_ITEM_BEF_REJECTION";"GRS_REVENUE_BEF_REJECTION";"GRS_REVENUE_BEF_CANCELLATION";"AVAIL_BY_SIZE";"PAGE_VIEWS";"VISITORS";"IMPRESSIONS";"CLICS";"STOCK";"AVAILABILITY";"CURRENT_SELLOUT_ITEMS";"BLACKPRICE";"DISCOUTPRICE";"GROSSTURNOVEER";"RANK"
"SE011AWDGB31";"FOOTWEAR";"ANKLE BOOTS";"/S/E/SE011AWDGB31_1.jpg";"See by Chloe";4;10;161682,4102010324161736834461289500957096;284079,017001720693622805743548250159516;"39:0 | 40:0 | 36:1 | 37:1 | 38:1 | Grand total:3";370;310;104998;230;3;0,6;0,5;27490;21990;28,88888888888888888888888888888888888886;59
"SP004AWDFJ34";"FOOTWEAR";"ANKLE BOOTS";"/S/P/SP004AWDFJ34_1.jpg";"Spurr";94;116;127274,5623337914102426403940146914740927;275896,8903221069695298485527605827695692;"10:0 | 6:0 | 8:4 | 7:6 | 9:17 | Grand total:27";3028;2212;550486;1825;27;0,6;0,5707762557077625570776255707762557077626;1990;1190;21,23943661971830985915492957746478873242;60
"SP004AWDME52";"FOOTWEAR";"ANKLE BOOTS";"/S/P/SP004AWDME52_1_v1.jpg";"Spurr";66;94;169124,4807028278967855653881522715866897;274285,3194034749212692994603359205603762;"6:2 | 10:6 | 7:8 | 9:21 | 8:23 | Grand total:60";7235;6347;963686;3792;60;1;0,4172185430463576158940397350993377483444;2490;1990;13,21081081081081081081081081081081081086;61
"LA002AWBOK66";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOK66_1.jpg";"Lamania";71;98;112789,3328244463708286827016830700936118;273123,7174107771050278164608303714173062;"36:0 | 40:0 | 37:1 | 39:1 | 38:2 | Grand total:4";2960;2283;487234;1559;4;0,6;0,712264150943396226415094339622641509434;2490;1240;34,43243243243243243243243243243243243245;62
"LA002AWCUV19";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWCUV19_1.jpg";"Lamania";32;62;224067,0495616176906598998291364641143357;272952,7676171729721783370397463470304046;"35:4 | 39:19 | 36:49 | 37:80 | 38:84 | Grand total:236";2443;1985;373241;1599;236;1;0,1561461794019933554817275747508305647841;3490;3490;3,19207920792079207920792079207920792079;63
"VI994AWCHA13";"FOOTWEAR";"ANKLE BOOTS";"/V/I/VI994AWCHA13_1.jpg";"Vicini";5;5;101626;271920;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | Grand total:0";257;213;60013;128;0;0;0,5;33990;28890;26;64
"CL567AWCEO12";"FOOTWEAR";"ANKLE BOOTS";"/C/L/CL567AWCEO12_1.jpg";"Clarks";14;26;123402,2133900141074124745725795113686012;271498,7975000243842767473756088348608757;"3,5:0 | 5,5:0 | 5:0 | 6,5:0 | 6:0 | 4,5:1 | 4:5 | Grand total:6";931;640;115992;427;6;0,285714286;0,4166666666666666666666666666666666666667;10390;6230;27,04;65
"AL028AWCWG91";"FOOTWEAR";"ANKLE BOOTS";"/A/L/AL028AWCWG91_1.jpg";"Aldo";13;30;151138,647469989276407338092324146099088;271356,5717999849489318731778666639937468;"36:0 | 37:0 | 40:0 | 41:0 | 38:1 | 39:4 | Grand total:5";930;722;125282;582;5;0,333333333;0,4838709677419354838709677419354838709677;8690;6080;30,00000000000000000000000000000000000003;66
"SP004AWDME77";"FOOTWEAR";"ANKLE BOOTS";"/S/P/SP004AWDME77_1.jpg";"Spurr";67;102;170510,7635343274393936949056430318796755;271229,4018059445812363892364294234217822;"10:0 | 9:0 | 6:1 | 8:1 | 7:3 | Grand total:5";6057;4934;1174379;3988;5;0,6;0,6732673267326732673267326732673267326733;2490;1860;33,56962025316455696202531645569620253169;67
"LA002AWBNN69";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBNN69_1.jpg";"Lamania";42;58;87819,4251198236585877628025373242455656;269643,2867029284045320125814645607252515;"36:0 | 39:0 | 40:0 | 37:1 | 38:1 | Grand total:2";2061;1331;107452;1201;2;0,4;0,759689922480620155038759689922480620155;3990;1790;44,35294117647058823529411764705882352945;68
